text,label
기저귀 가져다 줘,CALL_TRAY_BABY
기저귀 보관함 와줘,CALL_TRAY_BABY
기저귀 서랍 불러줘,CALL_TRAY_BABY
기저귀 있는 서랍 가져와,CALL_TRAY_BABY
기저귀 있는 트레이 와줘,CALL_TRAY_BABY
기저귀 좀 갖다줘,CALL_TRAY_BABY
기저귀 준비해줘,CALL_TRAY_BABY
기저귀 챙겨줘,CALL_TRAY_BABY
기저귀 트레이 불러줘,CALL_TRAY_BABY
기저귀 트레이 와줘,CALL_TRAY_BABY
기저귀 필요해,CALL_TRAY_BABY
등원 준비용 기저귀 가져와,CALL_TRAY_BABY
등원 준비용 물티슈 가져와,CALL_TRAY_BABY
등원 준비용 손수건 가져와,CALL_TRAY_BABY
등원 준비용 장난감 가져와,CALL_TRAY_BABY
등원 준비용 젖병 가져와,CALL_TRAY_BABY
물티슈 가져다 줘,CALL_TRAY_BABY
물티슈 보관함 와줘,CALL_TRAY_BABY
물티슈 서랍 불러줘,CALL_TRAY_BABY
물티슈 있는 서랍 가져와,CALL_TRAY_BABY
물티슈 있는 트레이 와줘,CALL_TRAY_BABY
물티슈 좀 갖다줘,CALL_TRAY_BABY
물티슈 준비해줘,CALL_TRAY_BABY
물티슈 챙겨줘,CALL_TRAY_BABY
물티슈 트레이 불러줘,CALL_TRAY_BABY
물티슈 트레이 와줘,CALL_TRAY_BABY
물티슈 필요해,CALL_TRAY_BABY
손수건 가져다 줘,CALL_TRAY_BABY
손수건 보관함 와줘,CALL_TRAY_BABY
손수건 서랍 불러줘,CALL_TRAY_BABY
손수건 있는 서랍 가져와,CALL_TRAY_BABY
손수건 있는 트레이 와줘,CALL_TRAY_BABY
손수건 좀 갖다줘,CALL_TRAY_BABY
손수건 준비해줘,CALL_TRAY_BABY
손수건 챙겨줘,CALL_TRAY_BABY
손수건 트레이 불러줘,CALL_TRAY_BABY
손수건 트레이 와줘,CALL_TRAY_BABY
손수건 필요해,CALL_TRAY_BABY
아기 기저귀 트레이 호출해,CALL_TRAY_BABY
아기 물티슈 트레이 호출해,CALL_TRAY_BABY
아기 손수건 트레이 호출해,CALL_TRAY_BABY
아기 장난감 트레이 호출해,CALL_TRAY_BABY
아기 젖병 트레이 호출해,CALL_TRAY_BABY
아기용 기저귀 가져와,CALL_TRAY_BABY
아기용 물티슈 가져와,CALL_TRAY_BABY
아기용 손수건 가져와,CALL_TRAY_BABY
아기용 장난감 가져와,CALL_TRAY_BABY
아기용 젖병 가져와,CALL_TRAY_BABY
아이 기저귀 가져와줘,CALL_TRAY_BABY
아이 물티슈 가져와줘,CALL_TRAY_BABY
아이 손수건 가져와줘,CALL_TRAY_BABY
아이 장난감 가져와줘,CALL_TRAY_BABY
아이 젖병 가져와줘,CALL_TRAY_BABY
육아 트레이에서 기저귀 가져와,CALL_TRAY_BABY
육아 트레이에서 물티슈 가져와,CALL_TRAY_BABY
육아 트레이에서 손수건 가져와,CALL_TRAY_BABY
육아 트레이에서 장난감 가져와,CALL_TRAY_BABY
육아 트레이에서 젖병 가져와,CALL_TRAY_BABY
장난감 가져다 줘,CALL_TRAY_BABY
장난감 보관함 와줘,CALL_TRAY_BABY
장난감 서랍 불러줘,CALL_TRAY_BABY
장난감 있는 서랍 가져와,CALL_TRAY_BABY
장난감 있는 트레이 와줘,CALL_TRAY_BABY
장난감 좀 갖다줘,CALL_TRAY_BABY
장난감 준비해줘,CALL_TRAY_BABY
장난감 챙겨줘,CALL_TRAY_BABY
장난감 트레이 불러줘,CALL_TRAY_BABY
장난감 트레이 와줘,CALL_TRAY_BABY
장난감 필요해,CALL_TRAY_BABY
젖병 가져다 줘,CALL_TRAY_BABY
젖병 보관함 와줘,CALL_TRAY_BABY
젖병 서랍 불러줘,CALL_TRAY_BABY
젖병 있는 서랍 가져와,CALL_TRAY_BABY
젖병 있는 트레이 와줘,CALL_TRAY_BABY
젖병 좀 갖다줘,CALL_TRAY_BABY
젖병 준비해줘,CALL_TRAY_BABY
젖병 챙겨줘,CALL_TRAY_BABY
젖병 트레이 불러줘,CALL_TRAY_BABY
젖병 트레이 와줘,CALL_TRAY_BABY
젖병 필요해,CALL_TRAY_BABY
캐리 기저귀 부탁해,CALL_TRAY_BABY
캐리 물티슈 부탁해,CALL_TRAY_BABY
캐리 손수건 부탁해,CALL_TRAY_BABY
캐리 장난감 부탁해,CALL_TRAY_BABY
캐리 젖병 부탁해,CALL_TRAY_BABY
캐리야 기저귀 가져와,CALL_TRAY_BABY
캐리야 물티슈 가져와,CALL_TRAY_BABY
캐리야 손수건 가져와,CALL_TRAY_BABY
캐리야 장난감 가져와,CALL_TRAY_BABY
캐리야 젖병 가져와,CALL_TRAY_BABY
게임 패드 가져다 줘,CALL_TRAY_HOBBY
게임 패드 서랍 불러줘,CALL_TRAY_HOBBY
게임 패드 트레이 와줘,CALL_TRAY_HOBBY
게임패드 보관함 호출해,CALL_TRAY_HOBBY
게임패드 있는 서랍 가져와,CALL_TRAY_HOBBY
게임패드 있는 트레이 와줘,CALL_TRAY_HOBBY
게임패드 좀 갖다줘,CALL_TRAY_HOBBY
게임패드 준비해줘,CALL_TRAY_HOBBY
게임패드 트레이 불러줘,CALL_TRAY_HOBBY
게임패드 필요해,CALL_TRAY_HOBBY
뜨개질 도구 가져다 줘,CALL_TRAY_HOBBY
뜨개질 도구 서랍 불러줘,CALL_TRAY_HOBBY
뜨개질 도구 트레이 와줘,CALL_TRAY_HOBBY
뜨개질 보관함 호출해,CALL_TRAY_HOBBY
뜨개질 있는 서랍 가져와,CALL_TRAY_HOBBY
뜨개질 있는 트레이 와줘,CALL_TRAY_HOBBY
뜨개질 좀 갖다줘,CALL_TRAY_HOBBY
뜨개질 준비해줘,CALL_TRAY_HOBBY
뜨개질 트레이 불러줘,CALL_TRAY_HOBBY
뜨개질 필요해,CALL_TRAY_HOBBY
스케치북 가져다 줘,CALL_TRAY_HOBBY
스케치북 보관함 호출해,CALL_TRAY_HOBBY
스케치북 서랍 불러줘,CALL_TRAY_HOBBY
스케치북 있는 서랍 가져와,CALL_TRAY_HOBBY
스케치북 있는 트레이 와줘,CALL_TRAY_HOBBY
스케치북 좀 갖다줘,CALL_TRAY_HOBBY
스케치북 준비해줘,CALL_TRAY_HOBBY
스케치북 트레이 불러줘,CALL_TRAY_HOBBY
스케치북 트레이 와줘,CALL_TRAY_HOBBY
스케치북 필요해,CALL_TRAY_HOBBY
액체 괴물 가져다 줘,CALL_TRAY_HOBBY
액체 괴물 서랍 불러줘,CALL_TRAY_HOBBY
액체 괴물 트레이 와줘,CALL_TRAY_HOBBY
액체괴물 보관함 호출해,CALL_TRAY_HOBBY
액체괴물 있는 서랍 가져와,CALL_TRAY_HOBBY
액체괴물 있는 트레이 와줘,CALL_TRAY_HOBBY
액체괴물 좀 갖다줘,CALL_TRAY_HOBBY
액체괴물 준비해줘,CALL_TRAY_HOBBY
액체괴물 트레이 불러줘,CALL_TRAY_HOBBY
액체괴물 필요해,CALL_TRAY_HOBBY
작업할 때 쓰는 게임 패드 가져와,CALL_TRAY_HOBBY
작업할 때 쓰는 뜨개질 도구 가져와,CALL_TRAY_HOBBY
작업할 때 쓰는 스케치북 가져와,CALL_TRAY_HOBBY
작업할 때 쓰는 액체 괴물 가져와,CALL_TRAY_HOBBY
작업할 때 쓰는 충전 케이블 가져와,CALL_TRAY_HOBBY
작업할 때 쓰는 충전기 가져와,CALL_TRAY_HOBBY
충전 케이블 서랍 불러줘,CALL_TRAY_HOBBY
충전 케이블 트레이 와줘,CALL_TRAY_HOBBY
충전기 가져다 줘,CALL_TRAY_HOBBY
충전기 보관함 호출해,CALL_TRAY_HOBBY
충전기 서랍 불러줘,CALL_TRAY_HOBBY
충전기 있는 서랍 가져와,CALL_TRAY_HOBBY
충전기 있는 트레이 와줘,CALL_TRAY_HOBBY
충전기 좀 갖다줘,CALL_TRAY_HOBBY
충전기 준비해줘,CALL_TRAY_HOBBY
충전기 줄 가져다 줘,CALL_TRAY_HOBBY
충전기 케이블 보관함 호출해,CALL_TRAY_HOBBY
충전기 케이블 있는 서랍 가져와,CALL_TRAY_HOBBY
충전기 케이블 있는 트레이 와줘,CALL_TRAY_HOBBY
충전기 케이블 좀 갖다줘,CALL_TRAY_HOBBY
충전기 케이블 준비해줘,CALL_TRAY_HOBBY
충전기 케이블 트레이 불러줘,CALL_TRAY_HOBBY
충전기 케이블 필요해,CALL_TRAY_HOBBY
충전기 트레이 불러줘,CALL_TRAY_HOBBY
충전기 트레이 와줘,CALL_TRAY_HOBBY
충전기 필요해,CALL_TRAY_HOBBY
취미 트레이에서 게임패드 가져와,CALL_TRAY_HOBBY
취미 트레이에서 뜨개질 가져와,CALL_TRAY_HOBBY
취미 트레이에서 스케치북 가져와,CALL_TRAY_HOBBY
취미 트레이에서 액체괴물 가져와,CALL_TRAY_HOBBY
취미 트레이에서 충전기 가져와,CALL_TRAY_HOBBY
취미 트레이에서 충전기 케이블 가져와,CALL_TRAY_HOBBY
취미용 게임 패드 가져와,CALL_TRAY_HOBBY
취미용 뜨개질 도구 가져와,CALL_TRAY_HOBBY
취미용 스케치북 가져와,CALL_TRAY_HOBBY
취미용 액체 괴물 가져와,CALL_TRAY_HOBBY
취미용 충전기 가져와,CALL_TRAY_HOBBY
취미용 충전기 줄 가져와,CALL_TRAY_HOBBY
캐리 게임패드 부탁해,CALL_TRAY_HOBBY
캐리 뜨개질 부탁해,CALL_TRAY_HOBBY
캐리 스케치북 부탁해,CALL_TRAY_HOBBY
캐리 액체괴물 부탁해,CALL_TRAY_HOBBY
캐리 충전기 부탁해,CALL_TRAY_HOBBY
캐리 충전기 케이블 부탁해,CALL_TRAY_HOBBY
캐리야 게임패드 가져와,CALL_TRAY_HOBBY
캐리야 뜨개질 가져와,CALL_TRAY_HOBBY
캐리야 스케치북 가져와,CALL_TRAY_HOBBY
캐리야 액체괴물 가져와,CALL_TRAY_HOBBY
캐리야 충전기 가져와,CALL_TRAY_HOBBY
캐리야 충전기 케이블 가져와,CALL_TRAY_HOBBY
당뇨약 보관함 호출해,CALL_TRAY_MEDICINE
당뇨약 있는 서랍 가져와,CALL_TRAY_MEDICINE
당뇨약 있는 트레이 와줘,CALL_TRAY_MEDICINE
당뇨약 좀 갖다줘,CALL_TRAY_MEDICINE
당뇨약 준비해줘,CALL_TRAY_MEDICINE
당뇨약 트레이 불러줘,CALL_TRAY_MEDICINE
당뇨약 필요해,CALL_TRAY_MEDICINE
돋보기 안경 보관함 호출해,CALL_TRAY_MEDICINE
돋보기 안경 있는 트레이 와줘,CALL_TRAY_MEDICINE
돋보기 안경 준비해줘,CALL_TRAY_MEDICINE
돋보기 있는 서랍 가져와,CALL_TRAY_MEDICINE
돋보기 좀 갖다줘,CALL_TRAY_MEDICINE
돋보기 트레이 불러줘,CALL_TRAY_MEDICINE
돋보기 필요해,CALL_TRAY_MEDICINE
복약 트레이에서 당뇨약 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 돋보기 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 비타민 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 안경 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 약 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 영양제 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 통풍약 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 한약 가져와,CALL_TRAY_MEDICINE
복약 트레이에서 혈압약 가져와,CALL_TRAY_MEDICINE
비타민 보관함 호출해,CALL_TRAY_MEDICINE
비타민 있는 서랍 가져와,CALL_TRAY_MEDICINE
비타민 있는 트레이 와줘,CALL_TRAY_MEDICINE
비타민 좀 갖다줘,CALL_TRAY_MEDICINE
비타민 준비해줘,CALL_TRAY_MEDICINE
비타민 트레이 불러줘,CALL_TRAY_MEDICINE
비타민 필요해,CALL_TRAY_MEDICINE
아침 약 보관함 호출해,CALL_TRAY_MEDICINE
안경 있는 서랍 가져와,CALL_TRAY_MEDICINE
안경 좀 갖다줘,CALL_TRAY_MEDICINE
안경 트레이 불러줘,CALL_TRAY_MEDICINE
안경 필요해,CALL_TRAY_MEDICINE
약 있는 서랍 가져와,CALL_TRAY_MEDICINE
약 좀 갖다줘,CALL_TRAY_MEDICINE
약 트레이 불러줘,CALL_TRAY_MEDICINE
약 필요해,CALL_TRAY_MEDICINE
어르신 당뇨약 가져와줘,CALL_TRAY_MEDICINE
어르신 돋보기 가져와줘,CALL_TRAY_MEDICINE
어르신 비타민 가져와줘,CALL_TRAY_MEDICINE
어르신 안경 가져와줘,CALL_TRAY_MEDICINE
